E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E232,Sodium orthophenyl phenol,Natrium-ortho-phenylphenol,Konserveringsmiddel (overfladebehandling af citrusfrugt),"Samme begrænsning som E231: kun godkendt til overfladebehandling af citrusskal, ikke som generelt tilsætningsstof.",Anvendelsen er reguleret snævert i EU parallelt med E231.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E233,Thiabendazole,Thiabendazol,Konserveringsmiddel/svampemiddel (overfladebehandling af citrusfrugt og bananer),"Kun godkendt til overfladebehandling, ikke som generelt tilsætningsstof; skal er ikke beregnet til at spises. Klassificeres i dele af EU-lovgivningen også som plantebeskyttelsesmiddel/pesticidrest med egne grænseværdier.",EU regulerer thiabendazol både som fødevaretilsætning (E-nummer) til overfladebehandling og som pesticid med separate MRL-grænseværdier (maksimalgrænseværdier for pesticidrester).,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E234,Nisin,Nisin,Konserveringsmiddel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende bakteriocin produceret af mælkesyrebakterier, vurderes sikkert inden for fastsat ADI.",EFSA har genvurderet nisin som fødevaretilsætning og bekræftet den eksisterende sikkerhedsprofil.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E235,Natamycin,"Natamycin, pimaricin",Konserveringsmiddel (overfladebehandling af oste og spegepølser),Kun godkendt til overfladebehandling; skal/overflade bør ikke indtages i unødigt store mængder. Ingen anden dokumenteret EU-specifik advarsel.,Natamycin er et naturligt antimykotikum produceret af en Streptomyces-bakterie og er genvurderet af EFSA uden ændring af den godkendte anvendelse.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E239,Hexamethylene tetramine,"Hexamin, hexamethylentetramin",Konserveringsmiddel,"Kun godkendt til én specifik anvendelse i EU: som konserveringsmiddel i den italienske ost Provolone. Nedbrydes delvist til formaldehyd, hvilket er baggrunden for den meget snævre godkendelse.","Den begrænsede godkendelse afspejler bekymring om formaldehyddannelse; EFSA har ikke genvurderet stoffet bredt, da anvendelsen er så snæver.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E242,Dimethyl dicarbonate,Dimethyldicarbonat (DMDC),Konserveringsmiddel,"Ingen dokumenteret EU-specifik advarsel; stoffet nedbrydes hurtigt til kuldioxid og methanol i meget små, ikke-problematiske mængder efter tilsætning i drikkevarer.",EFSA har vurderet DMDC som fødevaretilsætning og fundet den godkendte anvendelse i drikkevarer sikker.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E249,Potassium nitrite,Kaliumnitrit,Konserveringsmiddel (særligt i kød),"Kan under tilberedning/fordøjelse danne nitrosaminer, som er kræftfremkaldende. IARC har klassificeret forarbejdet kød generelt (ikke nitrit alene) som kræftfremkaldende for mennesker (gruppe 1). Bør ikke anvendes i mad til spædbørn under 6 måneder, som er særligt følsomme over for nitrit.","EFSA sænkede i 2017 den acceptable daglige indtagelse (ADI) for nitrit til 0,07 mg nitrition/kg kropsvægt/dag pga. bekymring for nitrosamindannelse, og vurderede at margin of exposure for eksogene nitrosaminer fra kødprodukter kan være utilstrækkelig ved høj eksponering.",https://www.efsa.europa.eu/en/efsajournal/pub/4786,EFSA 2017
E250,Sodium nitrite,Natriumnitrit,Konserveringsmiddel (særligt i kød),"Kan under tilberedning/fordøjelse danne nitrosaminer, som er kræftfremkaldende. IARC har klassificeret forarbejdet kød generelt (ikke nitrit alene) som kræftfremkaldende for mennesker (gruppe 1). Bør ikke anvendes i mad til spædbørn under 6 måneder.","EFSA's 2017 genvurdering sænkede ADI for nitrit til 0,07 mg/kg kropsvægt/dag og pegede på utilstrækkelig sikkerhedsmargin ved høj eksponering for nitrosaminer fra kødprodukter.",https://www.efsa.europa.eu/en/efsajournal/pub/4786,EFSA 2017
E251,Sodium nitrate,Natriumnitrat,Konserveringsmiddel (særligt i kød og ost),"Kan i kroppen omdannes til nitrit og videre til nitrosaminer. Spædbørn er særligt følsomme over for nitrat/nitrit, og nitrat bør ikke anvendes i mad til spædbørn.","EFSA's 2017 genvurdering af nitrat (E251/E252) bekræftede en ADI på 3,7 mg nitration/kg kropsvægt/dag, med særlig opmærksomhed på spædbørns øgede følsomhed.",https://www.efsa.europa.eu/en/efsajournal/pub/4787,EFSA 2017
E252,Potassium nitrate,Kaliumnitrat,Konserveringsmiddel (særligt i kød og ost),Kan i kroppen omdannes til nitrit og videre til nitrosaminer. Spædbørn er særligt følsomme over for nitrat/nitrit.,Del af EFSA's 2017 samlede genvurdering af nitrat (E251/E252).,https://www.efsa.europa.eu/en/efsajournal/pub/4787,EFSA 2017
E260,Acetic acid,Eddikesyre,Konserveringsmiddel; syrningsmiddel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende syre i bl.a. eddike, vurderes sikkert uden fastsat numerisk ADI (ADI 'not specified').",Almindeligt anvendt og længe vurderet sikkert af EU's videnskabelige komitéer.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E261,Potassium acetate,Kaliumacetat,Konserveringsmiddel; syrningsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert uden fastsat numerisk ADI.,Vurderet af EU's videnskabelige komitéer sammen med de øvrige acetater.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E262,Sodium acetates,"Natriumacetat, natriumdiacetat",Konserveringsmiddel; syrningsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert uden fastsat numerisk ADI.,"Dækker både natriumacetat (E262i) og natriumdiacetat (E262ii), begge vurderet sikre af EU's videnskabelige komitéer.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E263,Calcium acetate,Calciumacetat,Konserveringsmiddel; syrningsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert uden fastsat numerisk ADI.,Vurderet af EU's videnskabelige komitéer sammen med de øvrige acetater.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E270,Lactic acid,Mælkesyre,Konserveringsmiddel; syrningsmiddel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende syre, vurderes sikkert uden fastsat numerisk ADI.",Almindeligt anvendt og længe vurderet sikkert af EU's videnskabelige komitéer.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E280,Propionic acid,Propionsyre,Konserveringsmiddel (særligt brød og bagværk),"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert. Nogle observationelle studier har undersøgt en mulig sammenhæng mellem propionsyre i brød og adfærd hos børn, men EFSA har ikke fundet grundlag for at ændre godkendelsen på baggrund heraf.","EFSA genvurderede propionsyre og propionater (E280-E283) og fastholdt ADI på 'not specified', dvs. ingen tallmæssig grænse fundet nødvendig.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E281,Sodium propionate,Natriumpropionat,Konserveringsmiddel (særligt brød og bagværk),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert.,Del af EFSA's samlede genvurdering af propionsyre og propionater (E280-E283).,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E282,Calcium propionate,Calciumpropionat,Konserveringsmiddel (særligt brød og bagværk),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert.,Del af EFSA's samlede genvurdering af propionsyre og propionater (E280-E283).,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E283,Potassium propionate,Kaliumpropionat,Konserveringsmiddel (særligt brød og bagværk),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert.,Del af EFSA's samlede genvurdering af propionsyre og propionater (E280-E283).,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E284,Boric acid,Borsyre,Konserveringsmiddel (kun kaviar),"Kun godkendt til én meget snæver anvendelse i EU: konservering af æg af stør (kaviar). Borsyre kan ved høje doser påvirke forplantningsevnen, hvilket er baggrunden for den meget begrænsede godkendelse.","Den snævre EU-godkendelse (kun kaviar, med maksimalgrænse) afspejler dokumenteret bekymring for reproduktionstoksicitet ved højere eksponeringsniveauer end dem, der forekommer ved den godkendte brug.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E285,Sodium tetraborate (borax),"Natriumtetraborat, boraks",Konserveringsmiddel (kun kaviar),"Kun godkendt til konservering af kaviar i EU, med samme baggrund for begrænsning som borsyre (E284): mulig påvirkning af forplantningsevnen ved høje doser.",Reguleret sammen med E284 under samme snævre anvendelsesbegrænsning.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E290,Carbon dioxide,Kuldioxid,Konserveringsmiddel; drivgas; syrningsmiddel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende gas, vurderes sikkert uden fastsat numerisk ADI.","Almindeligt anvendt i bl.a. kulsyreholdige drikkevarer og beskyttende atmosfære-emballage, længe vurderet sikkert.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E296,Malic acid,Æblesyre,Syrningsmiddel; surhedsregulerende middel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende syre i bl.a. æbler, vurderes sikkert uden fastsat numerisk ADI.",Almindeligt anvendt og længe vurderet sikkert af EU's videnskabelige komitéer.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E297,Fumaric acid,Fumarsyre,Syrningsmiddel; surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (6 mg/kg kropsvægt/dag).,EFSA har genvurderet fumarsyre og bekræftet en ADI på 6 mg/kg kropsvægt/dag.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E300,Ascorbic acid,"Askorbinsyre, C-vitamin",Antioxidant,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Bemærk: i kombination med benzoater (E210-213) kan der under visse forhold (varme, lys) dannes spor af benzen.",EFSA har genvurderet ascorbinsyre og fundet den sikker som fødevaretilsætning; ingen ny ADI-begrænsning er indført.,https://www.efsa.europa.eu/en/efsajournal/pub/4087,EFSA (2015)
E301,Sodium ascorbate,Natriumascorbat,Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Samme benzen-forbehold som E300 gælder ved samtidig brug med benzoater.,EFSA-gennemgangen af ascorbinsyre og salte heraf fandt ingen sikkerhedsproblemer ved normalt indtag.,https://www.efsa.europa.eu/en/efsajournal/pub/4087,EFSA (2015)
E302,Calcium ascorbate,Calciumascorbat,Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af samme EFSA-genvurdering af ascorbinsyre-gruppen (E300-E302); ingen ny ADI blev fastsat, da indtag ikke gav anledning til bekymring.",https://www.efsa.europa.eu/en/efsajournal/pub/4087,EFSA (2015)
E304,Fatty acid esters of ascorbic acid,"Ascorbylpalmitat, ascorbylstearat",Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA har vurderet ascorbylpalmitat/-stearat som del af den generelle genvurdering af ældre godkendte tilsætningsstoffer uden at rejse nye sikkerhedsspørgsmål.,https://www.efsa.europa.eu/en/efsajournal/pub/4087,EFSA
E306,Tocopherol-rich extract,"Naturligt tocopherol-ekstrakt, E-vitamin-kilde",Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA har fastsat en gruppe-ADI for tocopheroler (E306-E309) og fandt ingen anledning til bekymring ved normalt kosttilskud.,https://www.efsa.europa.eu/en/efsajournal/pub/4247,EFSA (2015)
E307,Alpha-tocopherol,"Alfa-tocopherol, syntetisk E-vitamin",Antioxidant,Ingen dokumenteret EU-specifik advarsel ud over den fælles gruppe-ADI for tocopheroler.,"Del af EFSA's genvurdering af tocopherol-gruppen (E306-E309); gruppe-ADI fastsat, ingen ny risiko identificeret.",https://www.efsa.europa.eu/en/efsajournal/pub/4247,EFSA (2015)
E308,Gamma-tocopherol,Gamma-tocopherol,Antioxidant,Ingen dokumenteret EU-specifik advarsel ud over den fælles gruppe-ADI for tocopheroler.,Del af samme EFSA-gruppevurdering som E306-E309.,https://www.efsa.europa.eu/en/efsajournal/pub/4247,EFSA (2015)
E309,Delta-tocopherol,Delta-tocopherol,Antioxidant,Ingen dokumenteret EU-specifik advarsel ud over den fælles gruppe-ADI for tocopheroler.,Del af samme EFSA-gruppevurdering som E306-E309.,https://www.efsa.europa.eu/en/efsajournal/pub/4247,EFSA (2015)
E310,Propyl gallate,Propylgallat,Antioxidant,"Kan give allergiske reaktioner hos følsomme personer i sjældne tilfælde; i øvrigt vurderet sikkert inden for fastsat ADI. Beslægtede stoffer octylgallat (E311) og dodecylgallat (E312) er trukket tilbage i EU (2018) pga. utilstrækkelig toksikologisk dokumentation, hvilket har skærpet fokus på hele gallat-gruppen.","EFSA har genvurderet propylgallat og fastholdt godkendelsen, mens de nært beslægtede E311 og E312 blev fjernet fra EU's positivliste i 2018 (forordning 2018/1481) pga. mangelfuld data.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32018R1481,EFSA / EU-forordning 2018/1481
E315,Erythorbic acid,"Erythorbinsyre, isoascorbinsyre",Antioxidant,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Bruges ofte sammen med nitrit (E249-250) i saltet kød, hvor der generelt er opmærksomhed på nitrosaminer, men dette er en kendt egenskab ved nitrit-kombinationen, ikke ved erythorbinsyre selv.","EFSA har vurderet erythorbinsyre og dens natriumsalt uden at finde grundlag for en numerisk ADI, da indtag ikke gav toksikologisk bekymring.",https://www.efsa.europa.eu/en/efsajournal/pub/4360,EFSA (2016)
E316,Sodium erythorbate,Natriumerythorbat,Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Samme bemærkning om brug sammen med nitrit i kødprodukter som ved E315.,Del af samme EFSA-genvurdering som E315.,https://www.efsa.europa.eu/en/efsajournal/pub/4360,EFSA (2016)
E319,Tertiary-butylhydroquinone (TBHQ),"TBHQ, tert-butylhydroquinon",Antioxidant,"EFSA har fastsat en ADI på 0,7 mg/kg kropsvægt/dag; en opdateret eksponeringsvurdering fra EFSA i 2016 pegede på, at indtag for nogle grupper kan ligge tæt på ADI, uden at det gav anledning til at ændre godkendelsen.","EFSA gennemførte i 2004 den oprindelige sikkerhedsvurdering og i 2016 en opdateret eksponeringsvurdering af TBHQ; begge konkluderede, at stoffet er sikkert inden for den fastsatte ADI.",https://www.efsa.europa.eu/en/efsajournal/pub/4363,EFSA (2016)
E320,Butylated hydroxyanisole (BHA),BHA,Antioxidant,"EFSA reviderede i 2011 ADI'en fra 0,5 til 1,0 mg/kg kropsvægt/dag efter fund af godartede vævsforandringer i forstomme hos gnavere ved høje doser; mekanismen anses ikke for relevant for mennesker. IARC har klassificeret BHA i gruppe 2B (muligvis kræftfremkaldende for mennesker) baseret på dyreforsøg.","EFSA's genvurdering fra 2011 fandt ingen genotoksicitet, men justerede ADI'en op grundet dyreforsøg; stoffet er fortsat godkendt i EU med denne ADI.",https://www.efsa.europa.eu/en/efsajournal/pub/2392,EFSA (2011)
E321,Butylated hydroxytoluene (BHT),BHT,Antioxidant,"EFSA bekræftede i 2012 en ADI på 0,25 mg/kg kropsvægt/dag og fandt ingen genotoksisk risiko ved overholdelse af denne grænse.",EFSA's genvurdering i 2012 fastholdt godkendelsen af BHT med uændret ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/2588,EFSA (2012)
E322,Lecithins,"Lecithin, ofte sojalecithin (kan også være solsikke- eller rapsbaseret)",Emulgator/antioxidant,"Ikke en sikkerhedsrisiko ved normalt indtag, men kan udgøre en allergirisiko for personer med sojaallergi, da lecithin ofte er sojabaseret; sojaoprindelse skal deklareres som allergen jf. EU's fødevareinformationsregler.","EFSA har ikke fundet sikkerhedsmæssige problemer ved lecithin som tilsætningsstof; opmærksomheden knytter sig til allergenmærkning, ikke til stoffets toksikologi.",https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-forordning 1169/2011 (allergenmærkning)
E325,Sodium lactate,Natriumlactat,Surhedsregulerende middel,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (intet numerisk loft fastsat, da stoffet metaboliseres som almindeligt mælkesyresalt).","Mælkesyre og dens salte (E325-327) er blandt de ældre, brede godkendte tilsætningsstoffer, som EFSA ikke har fundet anledning til at genvurdere skærpet.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E326,Potassium lactate,Kaliumlactat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E325.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E327,Calcium lactate,Calciumlactat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E325.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E330,Citric acid,Citronsyre,Surhedsregulerende middel/antioxidant,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (intet numerisk loft, da citronsyre er en naturlig del af stofskiftet). Hyppig brug kan i sjældne tilfælde bidrage til tanderosion pga. syreindhold i drikkevarer.",Citronsyre er blandt de mest udbredte og bedst dokumenterede tilsætningsstoffer; EFSA har ikke fundet grundlag for restriktioner.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E331,Sodium citrates,"Natriumcitrat (mono-, di-, tri-)",Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af den brede citrat-gruppe, som EFSA vurderer som lavrisiko.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E332,Potassium citrates,Kaliumcitrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E331.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E333,Calcium citrates,Calciumcitrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E331.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E334,L-(+)-tartaric acid,Vinsyre,Surhedsregulerende middel/antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Naturligt forekommende syre i druer/vin; EFSA har ikke fundet sikkerhedsmæssige problemer ved brug som tilsætningsstof.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E335,Sodium tartrates,Natriumtartrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"Del af tartrat-gruppen (E334-337), vurderet lavrisiko af EFSA.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E336,Potassium tartrates,Kaliumtartrat (bl.a. cremortartari),Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E335.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E337,Sodium potassium tartrate,"Natrium-kalium-tartrat, Seignettesalt",Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E335-336.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E338,Phosphoric acid,Phosphorsyre,Surhedsregulerende middel,"EFSA fastsatte i 2019 en fælles gruppe-ADI for phosphater på 40 mg phosphor/kg kropsvægt/dag og vurderede, at nogle befolkningsgrupper (bl.a. børn og storforbrugere af sodavand, forarbejdet kød og ost) kan overskride denne ADI. Der er desuden peget på mulig sammenhæng mellem kronisk højt phosphatindtag og kardiovaskulær risiko, som fortsat undersøges.","EFSA's genvurdering fra 2019 dækkede phosphorsyre og phosphater (E338-341, E343, E450-452) samlet og indførte den nye gruppe-ADI netop pga. bekymring om samlet eksponering.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E339,Sodium phosphates,Natriumphosphat,Surhedsregulerende middel,"Omfattet af EFSA's gruppe-ADI for phosphater (40 mg phosphor/kg kropsvægt/dag, 2019); høj eksponering hos visse grupper kan overskride ADI, se E338.",Del af samme EFSA-genvurdering som E338.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E340,Potassium phosphates,Kaliumphosphat,Surhedsregulerende middel,"Omfattet af EFSA's gruppe-ADI for phosphater (40 mg phosphor/kg kropsvægt/dag, 2019); høj eksponering hos visse grupper kan overskride ADI, se E338.",Del af samme EFSA-genvurdering som E338.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E341,Calcium phosphates,Calciumphosphat,Surhedsregulerende middel/fastholdelsesmiddel,"Omfattet af EFSA's gruppe-ADI for phosphater (40 mg phosphor/kg kropsvægt/dag, 2019); høj eksponering hos visse grupper kan overskride ADI, se E338.",Del af samme EFSA-genvurdering som E338.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E343,Magnesium phosphates,Magnesiumphosphat,Surhedsregulerende middel,"Omfattet af EFSA's gruppe-ADI for phosphater (40 mg phosphor/kg kropsvægt/dag, 2019); høj eksponering hos visse grupper kan overskride ADI, se E338.",Del af samme EFSA-genvurdering som E338.,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.5674,EFSA (2019)
E345,Trimagnesium dicitrate,Magnesiumcitrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Godkendt tilsætningsstof i EU's positivliste (Annex II til forordning 1333/2008); ikke genstand for særskilt EFSA-advarsel.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E350,Sodium malates,Natriummalat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Æblesyre-salte vurderes lavrisiko af EFSA; ingen skærpet regulering.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E351,Potassium malate,Kaliummalat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E350.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E352,Calcium malates,Calciummalat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E350.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E353,Metatartaric acid,Metavinsyre,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Anvendes primært i vin.,Godkendt tilsætningsstof primært til vinfremstilling; ingen særskilt EFSA-advarsel fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E354,Calcium tartrate,Calciumtartrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Del af tartrat-gruppen; ingen skærpet regulering fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E355,Adipic acid,Adipinsyre,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Godkendt tilsætningsstof; ingen skærpet EFSA-advarsel fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E356,Sodium adipate,Natriumadipat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E355.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E357,Potassium adipate,Kaliumadipat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Samme vurderingsgrundlag som for E355.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E363,Succinic acid,Ravsyre,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Naturligt forekommende syre; ingen skærpet EFSA-advarsel fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E380,Triammonium citrate,Triammoniumcitrat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,Godkendt tilsætningsstof i EU's positivliste; ingen særskilt EFSA-advarsel fundet.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU-database over fødevaretilsætningsstoffer
E385,Calcium disodium EDTA,"Calciumdinatrium-EDTA, calciumdinatriumethylendiamintetraacetat",Antioxidant/kompleksbindingsmiddel,"EFSA har fastsat en ADI (2,5 mg/kg kropsvægt/dag); ved meget høj indtagelse kan EDTA i teorien binde og reducere optagelsen af mineraler som jern og zink, men dette anses ikke for en risiko ved normalt fødevareindtag.",EFSA har genvurderet calciumdinatrium-EDTA og bekræftet en ADI uden at finde ny grund til bekymring ved overholdelse heraf.,https://www.efsa.europa.eu/en/efsajournal/pub/3729,EFSA (2014)
E392,Extracts of rosemary,Rosmarinekstrakt,Antioxidant,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI. Godkendt i EU i 2010 som naturligt alternativ til syntetiske antioxidanter som BHA/BHT.,EFSA vurderede rosmarinekstrakt ved godkendelsen i 2010 og har senere lavet en opdateret eksponeringsvurdering (2015) uden at finde sikkerhedsproblemer.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009710/,EFSA (2015)
E400,Alginic acid,Alginsyre,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA's genvurdering i 2017 konkluderede at der ikke er behov for et numerisk ADI for alginsyre og dets salte; ingen sikkerhedsbekymring ved rapporteret brug, men eksponering hos spædbørn/småbørn bør holdes under terapeutiske doser.",https://www.efsa.europa.eu/en/efsajournal/pub/5049,"EFSA, 2017"
